proj 4.9.2-1
psmisc 22.21-3
pth 2.0.7-5
pulseaudio 8.0-3
pulseaudio-alsa 2-3
pygobject-devel 3.18.2-1
pygobject2-devel 2.28.6-12
pygtk 2.24.0-6
pyspotify 1.12-1
python 3.5.1-1
python-atspi 2.18.0-1
python-click 6.3-1
python-dbus-common 1.2.0-5
python-gobject 3.18.2-1
python-greenlet 0.4.9-2
python-msgpack 0.4.7-1
python-neovim 0.1.2-1
python-packaging 16.5-1
python-pip 8.0.3-1
python-pyparsing 2.1.0-1
python-setuptools 1:20.2.2-1
python-six 1.10.0-1
python-xdg 0.25-3
python2 2.7.11-1
python2-atspi 2.18.0-1
python2-backports-abc 0.4-1
python2-beaker 1.8.0-1
python2-cairo 1.10.0-2
python2-chardet 2.3.0-2
python2-click 6.3-1
python2-crypto 2.6.1-3
python2-dbus 1.2.0-5
python2-ecdsa 0.13-2
python2-futures 3.0.5-1
python2-gobject 3.18.2-1
python2-gobject2 2.28.6-12
python2-greenlet 0.4.9-2
python2-keybinder2 0.3.0-2
python2-lxml 3.5.0-1
python2-mako 1.0.3-1
python2-markupsafe 0.23-3
python2-msgpack 0.4.7-1
python2-neovim 0.1.2-1
python2-notify 0.1.1-13
python2-numpy 1.10.4-1
python2-packaging 16.5-1
python2-pam 0.1.4-2
python2-paramiko 1.16.0-1
python2-pexpect 4.0.1-2
python2-pillow 3.1.1-1
python2-pip 8.0.3-1
python2-psutil 4.0.0-1
python2-ptyprocess 0.5.1-1
python2-pyinotify 0.9.6-2
python2-pykka 1.2.0-1
python2-pyparsing 2.1.0-1
python2-requests 2.9.1-1
python2-setuptools 1:20.2.2-1
python2-singledispatch 3.4.0.3-2
python2-six 1.10.0-1
python2-tornado 4.3.0-1
python2-trollius 2.0-2
python2-urllib3 1.14-1
qt4 4.8.7-6
qt5-base 5.5.1-9
qtchooser 53-2
randrproto 1.5.0-1
ranger 1.7.2-1
rarian 0.8.1-5
readline 6.3.008-3
recordproto 1.14.2-2
redis 3.0.7-1
reiserfsprogs 3.6.24-1
renderproto 0.11.1-3
resourceproto 1.2.0-3
rest 0.7.93-1
rofi-git 0.15.12.r77.g784244a-1
rpcbind 0.2.3-3
rsync 3.1.2-1
rtkit 0.11-5
rtmpdump 1:2.4.r96.fa8646d-1
ruby 2.3.0-1
run-parts 4.7-1
rxvt-unicode 9.22-1
rxvt-unicode-terminfo 9.22-1
s-nail 14.8.6-1
sbc 1.3-1
schroedinger 1.0.11-3
scrnsaverproto 1.2.2-2
sdl 1.2.15-7
seahorse 3.18.0-2
sed 4.2.2-3
semver 5.1.0-1
serf 1.3.8-1
shadow 4.2.1-3
shared-mime-info 1.5-1
shutter 0.93.1-1
slack-desktop 1.2.6-1
slang 2.3.0-1
smbclient 4.3.5-1
snappy 1.1.3-2
sound-theme-freedesktop 0.8-2
source-highlight 3.1.8-6
speech-dispatcher 0.8.3-6
speex 1.2rc2-1
speexdsp 1.2rc3-2
spotify 1.0.19.106-3
sqlite 3.11.0-2
startup-notification 0.12-4
subversion 1.9.3-2
sudo 1.8.15-1
sysfsutils 2.1.0-9
systemd 229-3
systemd-sysvcompat 229-3
taglib 1.10-3
talloc 2.1.5-1
tar 1.28-1
tdb 1.3.8-1
terminator-gtk3-bzr r1612-1
tevent 0.9.26-1
texinfo 6.0-1
the_silver_searcher 0.31.0-1
thin-provisioning-tools 0.6.0-2
tinyxml 2.6.2-4
tmux 2.1-2
transmission-qt 2.84-2
tree 1.7.0-1
ttf-bitstream-vera 1.10-10
ttf-cheapskate 2.0-10
ttf-chromeos-fonts 1.31.0-1
